ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
2433,1038,Dec-33,Tennis Shoes,Core 245,Tennis Shoes designed for sports and outdoor activities.,Grey,XL,Elite,456.47,784.72
2434,1039,Dec-34,Tennis Bags,X 690,Tennis Bags designed for sports and outdoor activities.,Green,42,Pro,10.26,17.82
2435,1040,Dec-35,Tennis Strings,Elite 462,Tennis Strings designed for sports and outdoor activities.,Green,38,Pro,34.61,51.05
2436,1041,Dec-36,Swimwear,Active 634,Swimwear designed for sports and outdoor activities.,Red,One Size,Premium,31.07,52.34
2437,1042,Dec-37,Swimming Goggles,X 182,Swimming Goggles designed for sports and outdoor activities.,White,38,Pro,383.45,588.57
2438,1043,Dec-38,Swim Caps,Core 896,Swim Caps designed for sports and outdoor activities.,Black,L,Premium,454.67,807.45
2439,1044,Dec-39,Kickboards,Plus 632,Kickboards designed for sports and outdoor activities.,Red,38,Standard,343,511.11
2440,1045,Dec-40,Swimming Fins,Plus 207,Swimming Fins designed for sports and outdoor activities.,Orange,M,Pro,112.41,152.92
2441,1046,Dec-41,Camping Chairs,Elite 156,Camping Chairs designed for sports and outdoor activities.,Blue,One Size,Elite,494.4,789.32
2442,1047,Dec-42,Camping Lanterns,Pro 119,Camping Lanterns designed for sports and outdoor activities.,Orange,XS,Standard,315.6,591.98
2443,1048,Dec-43,Cooler Boxes,Pro 253,Cooler Boxes designed for sports and outdoor activities.,Orange,One Size,Elite,68.35,103.02
2444,1049,Dec-44,Camping Cooking Sets,Pro 624,Camping Cooking Sets designed for sports and outdoor activities.,White,44,Pro,460.5,762.43
2445,1050,Dec-45,Hiking Backpacks,Elite 404,Hiking Backpacks designed for sports and outdoor activities.,Blue,XS,Premium,376.27,650.01
2446,1051,Dec-46,Yoga Blocks,Core 240,Yoga Blocks designed for sports and outdoor activities.,Grey,One Size,Sport,361.27,652.59
2447,1052,Dec-47,Yoga Straps,Pro 727,Yoga Straps designed for sports and outdoor activities.,Grey,XL,Premium,175.57,233.68
2448,1053,Dec-48,Meditation Cushions,Core 359,Meditation Cushions designed for sports and outdoor activities.,Black,38,Sport,376.35,664.85
2449,1054,Dec-49,Foam Rollers,Plus 690,Foam Rollers designed for sports and outdoor activities.,Grey,44,Standard,326.73,473.19
2450,1055,Dec-50,Weight Plates,X 877,Weight Plates designed for sports and outdoor activities.,Orange,40,Elite,464.88,711.09
2451,1056,Dec-51,Barbells,X 119,Barbells designed for sports and outdoor activities.,Navy,40,Sport,39.35,73.21
2452,1057,Dec-52,Weight Benches,Pro 840,Weight Benches designed for sports and outdoor activities.,Green,M,Standard,458.99,795.45
2453,1058,Dec-53,Pull-up Bars,X 841,Pull-up Bars designed for sports and outdoor activities.,Navy,40,Premium,309.77,438.18
2454,1059,Dec-54,Medicine Balls,Core 617,Medicine Balls designed for sports and outdoor activities.,Red,38,Pro,432.38,743.91
2455,1060,Dec-55,Basketball Shoes,Core 512,Basketball Shoes designed for sports and outdoor activities.,White,44,Pro,492.95,742.19
2456,1061,Dec-56,Basketballs,Active 565,Basketballs designed for sports and outdoor activities.,Black,44,Elite,183.35,340.01
2457,1062,Dec-57,Basketball Hoops,Elite 240,Basketball Hoops designed for sports and outdoor activities.,White,XS,Premium,80.64,154.48
2458,1063,Dec-58,Compression Wear,Elite 844,Compression Wear designed for sports and outdoor activities.,Green,M,Standard,468.73,829.99
2459,1064,Dec-59,Basketball Training Equipment,Active 861,Basketball Training Equipment designed for sports and outdoor activities.,Red,42,Elite,357.51,489.77
2460,1065,Dec-60,Table Tennis Bats,Core 552,Table Tennis Bats designed for sports and outdoor activities.,Orange,38,Pro,461.13,638.75
2461,1066,Dec-61,Table Tennis Balls,Active 598,Table Tennis Balls designed for sports and outdoor activities.,Navy,XS,Premium,53.37,97.83
2462,1067,Dec-62,Table Tennis Tables,Core 109,Table Tennis Tables designed for sports and outdoor activities.,Red,S,Sport,325.18,590.3
2463,1068,Dec-63,Table Tennis Nets,Elite 875,Table Tennis Nets designed for sports and outdoor activities.,Green,XL,Standard,181.94,352.15
2464,1069,Dec-64,Table Tennis Covers,Core 837,Table Tennis Covers designed for sports and outdoor activities.,Blue,42,Pro,288.43,395.7
2465,1070,Dec-65,Frisbees,X 726,Frisbees designed for sports and outdoor activities.,Navy,40,Standard,211.27,414.24
2466,1071,Dec-66,Skipping Ropes,Core 500,Skipping Ropes designed for sports and outdoor activities.,Black,38,Pro,134.92,216.43
2467,1072,Dec-67,Binoculars,Core 590,Binoculars designed for sports and outdoor activities.,Orange,38,Elite,10.55,18.42
2468,1073,Dec-68,Water Bottles,Pro 395,Water Bottles designed for sports and outdoor activities.,Blue,XL,Sport,390.39,664.91
2469,1074,Dec-69,Headlamps,X 815,Headlamps designed for sports and outdoor activities.,Green,XS,Sport,40.58,57.06
2470,1075,Dec-70,Ski Jackets,Elite 125,Ski Jackets designed for sports and outdoor activities.,Black,One Size,Standard,226.89,411.96
2471,1076,Dec-71,Ski Pants,Plus 840,Ski Pants designed for sports and outdoor activities.,Black,L,Sport,386.1,731.54
2472,1077,Dec-72,Ski Gloves,Plus 385,Ski Gloves designed for sports and outdoor activities.,Red,M,Pro,200.51,345.33
2473,1078,Dec-73,Snow Boots,Elite 190,Snow Boots designed for sports and outdoor activities.,White,XL,Standard,57.7,94.07
2474,1079,Dec-74,Thermal Wear,Core 497,Thermal Wear designed for sports and outdoor activities.,Grey,XS,Standard,110.66,168.53
2475,1001,Dec-75,Running Shoes,Plus 717,Running Shoes designed for sports and outdoor activities.,Navy,38,Pro,178.91,289.29
2476,1002,Dec-76,Running Apparel,Plus 442,Running Apparel designed for sports and outdoor activities.,Green,M,Standard,477.32,695.57
2477,1003,Dec-77,Hydration Packs,Pro 599,Hydration Packs designed for sports and outdoor activities.,Black,One Size,Sport,191.04,327.8
2478,1004,Dec-78,GPS Watches,Elite 663,GPS Watches designed for sports and outdoor activities.,White,38,Pro,337.14,615.68
2479,1005,Dec-79,Running Socks,Active 844,Running Socks designed for sports and outdoor activities.,Orange,S,Standard,331.48,639.32
2480,1006,Dec-80,Hiking Shoes,X 683,Hiking Shoes designed for sports and outdoor activities.,White,42,Premium,182.18,354.98
2481,1007,Dec-81,Trekking Backpacks,Pro 552,Trekking Backpacks designed for sports and outdoor activities.,Navy,XL,Elite,63.81,94.73
2482,1008,Dec-82,Trekking Poles,Active 788,Trekking Poles designed for sports and outdoor activities.,White,L,Elite,301.05,474.86
2483,1009,Dec-83,Camping Tents,Active 762,Camping Tents designed for sports and outdoor activities.,White,XS,Pro,78.22,104.42
2484,1010,Dec-84,Sleeping Bags,X 599,Sleeping Bags designed for sports and outdoor activities.,Orange,S,Pro,370.47,589.38
2485,1011,Dec-85,Mountain Bikes,Pro 856,Mountain Bikes designed for sports and outdoor activities.,Navy,44,Elite,495.05,724.93
2486,1012,Dec-86,Road Bikes,Plus 900,Road Bikes designed for sports and outdoor activities.,Green,40,Pro,402.51,610.47
2487,1013,Dec-87,Cycling Helmets,Pro 864,Cycling Helmets designed for sports and outdoor activities.,Navy,One Size,Elite,376.99,600.01
2488,1014,Dec-88,Cycling Jerseys,Active 172,Cycling Jerseys designed for sports and outdoor activities.,White,One Size,Elite,30.83,53.55
2489,1015,Dec-89,Bike Accessories,Elite 271,Bike Accessories designed for sports and outdoor activities.,Green,38,Elite,126.75,246.46
2490,1016,Dec-90,Dumbbells,Plus 779,Dumbbells designed for sports and outdoor activities.,Green,XL,Standard,310.77,458.67
2491,1017,Dec-91,Resistance Bands,X 356,Resistance Bands designed for sports and outdoor activities.,White,38,Elite,222.5,401.92
2492,1018,Dec-92,Yoga Mats,X 882,Yoga Mats designed for sports and outdoor activities.,Black,38,Standard,190.38,297.24
2493,1019,Dec-93,Kettlebells,Pro 168,Kettlebells designed for sports and outdoor activities.,Orange,One Size,Pro,173.49,259.12
2494,1020,Dec-94,Exercise Bikes,Active 514,Exercise Bikes designed for sports and outdoor activities.,White,38,Standard,468.35,702.21
2495,1021,Dec-95,Football Boots,Pro 683,Football Boots designed for sports and outdoor activities.,Orange,M,Sport,324.89,646.29
2496,1022,Dec-96,Footballs,Plus 818,Footballs designed for sports and outdoor activities.,Grey,M,Elite,303.04,593.26
2497,1023,Dec-97,Goalkeeper Gloves,Plus 728,Goalkeeper Gloves designed for sports and outdoor activities.,Blue,XL,Sport,90.14,127
2498,1024,Dec-98,Shin Guards,Pro 783,Shin Guards designed for sports and outdoor activities.,Blue,40,Standard,100.07,189.88
2499,1025,Dec-99,Training Cones,Active 425,Training Cones designed for sports and outdoor activities.,Blue,42,Premium,222.5,295.14
2500,1026,Dec-00,Cricket Bats,Elite 900,Cricket Bats designed for sports and outdoor activities.,Blue,XL,Standard,214,295.88
